año,mes,temp,precip,provincia
2014,10,12.970967741935485,398.8,BOLIVAR
2014,11,13.246666666666666,294.7,BOLIVAR
2014,12,13.229032258064517,396.5,BOLIVAR
2015,1,13.22258064516129,444.1,BOLIVAR
2015,2,13.37142857142857,343.6,BOLIVAR
2015,3,13.5,562.2,BOLIVAR
2015,4,13.446666666666665,595.5,BOLIVAR
2015,5,13.374193548387098,316.5,BOLIVAR
2015,6,13.47,133.8,BOLIVAR
2015,7,12.919354838709678,234.5,BOLIVAR
2015,8,13.093548387096773,159.3,BOLIVAR
2015,9,13.033333333333333,256.2,BOLIVAR
2015,10,13.245161290322581,466.5,BOLIVAR
2015,11,13.586666666666668,492.9,BOLIVAR
2015,12,13.903225806451612,266.2,BOLIVAR
2016,1,13.95483870967742,820.1,BOLIVAR
2016,2,14.324137931034482,433.3,BOLIVAR
2016,3,14.32258064516129,487.9,BOLIVAR
2016,4,14.013333333333332,438.5,BOLIVAR
2016,5,13.896774193548387,371.1,BOLIVAR
2016,6,13.063333333333333,153.5,BOLIVAR
2016,7,12.458064516129031,128.7,BOLIVAR
2016,8,12.80967741935484,98.1,BOLIVAR
2016,9,12.646666666666667,390.2,BOLIVAR
2016,10,13.148387096774194,324.6,BOLIVAR
2016,11,13.416666666666666,300.2,BOLIVAR
2016,12,13.167741935483871,634.5,BOLIVAR
2017,1,11.496774193548386,413.59999999999997,BOLIVAR
2017,2,11.914285714285715,348.8,BOLIVAR
2017,3,11.580645161290322,413.0,BOLIVAR
2017,4,12.34,453.1,BOLIVAR
2017,5,11.922580645161291,386.8,BOLIVAR
2017,6,11.793333333333333,233.1,BOLIVAR
2017,7,12.04516129032258,199.9,BOLIVAR
2017,8,11.503225806451614,191.0,BOLIVAR
2017,9,11.84,214.7,BOLIVAR
2017,10,12.074193548387097,339.1,BOLIVAR
2017,11,12.04,142.8,BOLIVAR
2017,12,11.680645161290323,342.4,BOLIVAR
2018,1,11.364516129032259,277.0,BOLIVAR
2018,2,11.528571428571428,337.2,BOLIVAR
2018,3,11.706451612903225,451.90000000000003,BOLIVAR
2018,4,12.036666666666667,256.4,BOLIVAR
2018,5,11.770967741935483,356.09999999999997,BOLIVAR
2018,6,11.423333333333334,327.3,BOLIVAR
2018,7,11.638709677419355,305.0,BOLIVAR
2018,8,11.912903225806453,177.0,BOLIVAR
2018,9,11.4,157.0,BOLIVAR
2018,10,11.77741935483871,47.4,BOLIVAR
2018,11,12.066666666666666,262.4,BOLIVAR
2018,12,11.683870967741935,515.4,BOLIVAR
2019,1,12.100000000000001,550.4,BOLIVAR
2019,2,12.025,527.7,BOLIVAR
2019,3,12.261290322580646,435.1,BOLIVAR
2019,4,12.143333333333334,467.8,BOLIVAR
2019,5,11.864516129032259,384.3,BOLIVAR
2019,6,12.47,342.7,BOLIVAR
2019,7,11.712903225806452,253.8,BOLIVAR
2019,8,12.538709677419355,98.3,BOLIVAR
2019,9,11.963333333333333,239.4,BOLIVAR
2019,10,11.406451612903227,444.5,BOLIVAR
2019,11,12.19,315.4,BOLIVAR
2019,12,12.229032258064517,427.7,BOLIVAR
2020,1,12.406451612903227,454.2,BOLIVAR
2020,2,12.303448275862069,493.9,BOLIVAR
2020,3,12.196774193548388,334.8,BOLIVAR
2020,4,12.226666666666667,512.1,BOLIVAR
2020,5,12.625806451612902,333.0,BOLIVAR
2020,6,11.856666666666666,292.4,BOLIVAR
2020,7,11.461290322580645,211.7,BOLIVAR
2020,8,11.735483870967743,112.2,BOLIVAR
2020,9,11.613333333333333,171.1,BOLIVAR
2020,10,12.064516129032258,250.70000000000002,BOLIVAR
2020,11,11.773333333333333,101.4,BOLIVAR
2020,12,11.274193548387096,429.7,BOLIVAR
2021,1,11.080645161290322,502.6,BOLIVAR
2021,2,11.87857142857143,413.7,BOLIVAR
2021,3,11.616129032258065,379.5,BOLIVAR
2021,4,11.66,524.5,BOLIVAR
2021,5,12.064516129032258,316.0,BOLIVAR
2021,6,11.116666666666667,156.8,BOLIVAR
2021,7,11.612903225806452,226.0,BOLIVAR
2021,8,11.419354838709678,260.5,BOLIVAR
2021,9,11.71,344.3,BOLIVAR
2021,10,11.829032258064515,357.1,BOLIVAR
2021,11,11.906666666666666,260.6,BOLIVAR
2021,12,11.751612903225807,325.9,BOLIVAR
2022,1,11.100000000000001,455.7,BOLIVAR
2022,2,11.174999999999999,430.2,BOLIVAR
2022,3,11.2,440.2,BOLIVAR
2022,4,11.566666666666666,489.4,BOLIVAR
